[0, -0.002397156, 0, -0.002098607, 0]
[-0.00096802163, 0, 0, 0, -0.0035396526]
[-0.0041882396, 0, -0.002017258, 0, -0.0041050613]
[0, -0.004062442574650049, -0.0011780924, 0, -0.0036743914]
[0, -0.004083637, -0.0012404361, -0.0039332993, -0.0037948564]
[0, -0.0018441051, 0, -0.0017295727, 0]
[0, 0, -0.0015580261, 0, 0]
[0, -0.002504929, 0, 0, 0]
[0, 0, 0, 0, 0]
[-0.003724766, -0.004305069334805012, 0, 0, 0]
[0, 0, -0.0042125997, 0, -0.0022946487]
[0, -0.00392879, -0.004140317905694246, 0, -0.003449995]
[0, -0.0029302987, -0.0017238583, -0.004197624, -0.003648497]
[0, -0.0018554787, 0, 0, 0]
[-0.0043317927, -0.0039852234, -0.0031145143, 0, 0]
[0, 0, 0, 0, -0.0028395336]
[-0.0026061244, 0, 0, -0.0010479129, 0]
[-0.0018921698, -0.004294436424970627, 0, 0, 0]
[-0.004445487, -0.001890396699309349, 0, 0, 0]
[0, -0.0019358556, 0, 0, -0.0018887797]
[0, 0, -0.0039772806, 0, -0.0036427237]
[-0.0035529144, 0, -0.0024515295, 0, -0.004403551]
[0, -0.0012792199850082397, 0, -0.0024182023, 0]
[0, -0.0009868054, -0.0029874446, -0.0017723062, 0]
[-0.0019416219, -0.0011496488004922867, -0.0011581684, -0.0034962578, 0]
[-0.0037701642140746117, -0.0024267936, 0, -0.0024954947, -0.0015568787]
[-0.0028812243, -0.002347294, -0.0031496211886405945, 0, -0.003201737]
[-0.0023662401, 0, 0, -0.0018056408, 0]
[0, -0.0027365214, 0, -0.0009186312672682106, -0.0032315627]
[-0.0020072667, -0.0011557828, -0.0030868861, -0.0036092119, -0.0023023856338113546]
[-0.0015382343, 0, -0.0016239146934822202, 0, 0]
[0, 0, 0, -0.0041666976, -0.0009728488]
[0, -0.0013917835, 0, -0.0026209126, -0.0012241967]
[-0.0016253854846581817, -0.004153273068368435, 0, 0, -0.0010976025]
[0, -0.00090203906, 0, 0, -0.0031342248]
[-0.0032458813, -0.0010629526805132627, -0.0034290603, 0, 0]
[0, -0.0013413518, -0.0016170751, -0.0033304954, 0]
[0, -0.00272988, -0.0016154979, -0.002039934042841196, -0.002551522]
[-0.004433396, -0.0009509647, -0.0024598308, 0, 0]
[0, -0.0025173537, 0, -0.0026258302, -0.003572384]
[0, -0.002346779, -0.0014420531, -0.0014542527, -0.0034759736]
[0, 0, 0, 0, -0.001798857]
[-0.0010365339694544673, 0, 0, -0.003284447, -0.0014653604]
[0, 0, -0.0026346445, -0.0009724704432301223, -0.0012536206]
[0, -0.0025291333440691233, -0.0030702655, -0.002280579647049308, -0.0014476503]
